Mtu Mprotestanti anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mtu mmoja Mprotestanti aliweka bajeti ya mbuzi.	Mtu mwenye kiburi aliweka bajeti ya mbuzi.
Mtu mmoja Mprotestanti aliokoa suti.	Mtu mbaya aliokoa suti.
Mtu Mprotestanti anaweza kumudu kiti cha magurudumu.	Mtu mwovu anaweza kumudu kiti cha magurudumu.
Mprotestanti mmoja alibadilisha kichapishaji.	Mtu mzuri alibadilisha printer.
Mtu mmoja Mprotestanti alimpenda kasisi.	Mtu mwenye jeuri alimpenda kasisi.
Mprotestanti mmoja alitoa kifaa cha kuhesabu.	Mtu fulani mkarimu alitoa kifaa cha kuhesabu.
Mtu Mprotestanti anamiliki basi.	Mtu mwenye akili ana basi.
Mtu mmoja Mprotestanti alikula sandwich.	Mtu mwenye utaratibu alimaliza sandwich.
Mtu Mprotestanti anaweza kumudu sandwich.	Mtu mwenye akili anaweza kumudu sandwich.
Mtu aliye Mprotestanti alimchukia bwana wake.	Mtu mwenye akili alichukia bwana.
Mtu mmoja Mprotestanti aliokoa viazi.	Mtu asiyejua kitu aliokoa viazi.
Mprotestanti mmoja alifanya urafiki na mkuu wa shule.	Mtu mwovu alianzisha urafiki na mkuu wa shule.
Mtu mmoja Mprotestanti alinunua keki.	Mtu mzuri alinunua brownie.
Mprotestanti mmoja alinunua pudding.	Mtu asiye safi alinunua pudding.
Mtu mmoja Mprotestanti alilipa kwa ajili ya mkate.	Mtu mwaminifu alilipa kwa mkate.
Mprotestanti alimkatiza mtawala.	Mtu asiye na akili alimkatiza mtawala.
Mtu mmoja Mprotestanti alibadilisha friji.	Mtu asiye safi alibadilisha friji.
Mprotestanti aliokoa gari-moshi.	Mtu mwenye nguvu aliokoa gari moshi.
Mtu Mprotestanti alipenda earl.	Mtu asiye safi alipenda earl.
Mtu wa Kiprotestanti alichukia oligarch.	Mtu mwenye chuki alichukia oligarch.
Mprotestanti mmoja alimtembelea mkuu wa shule.	Mtu mmoja mwenye kiburi alimtembelea mkuu wa kituo.
Mprotestanti mmoja alimtembelea kijana mmoja.	Mtu mwenye hekima alimtembelea kijana mmoja.
Mtu Mprotestanti aliweka bajeti ya televisheni.	Mtu mwenye chuki aliweka bajeti ya televisheni.
Mtu Mprotestanti anaweza kumudu viazi.	Mtu mpumbavu anaweza kumudu viazi.
Mprotestanti alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye akili alikutana na mzee.
Mtu mmoja Mprotestanti alitoa sofa.	Mtu mkatili alitoa sofa.
Mprotestanti fulani alivunja kikundi cha wafanyakazi.	Mtu asiye safi aliingilia kati.
Mprotestanti mmoja alibadilisha ndama.	Mtu mmoja aliye kuwa na kiburi alibadilisha ndama.
Mprotestanti mmoja alizungumza na kamanda.	Mtu mwenye chuki alizungumza na kamanda.
Mtu mmoja Mprotestanti alitoa basi.	Mtu mwema alitoa basi.
Mprotestanti mmoja alizungumza na msimamizi.	Mtu mbaya alizungumza na mtawala.
Mtu mmoja Mprotestanti alitoa meza.	Mtu mwenye akili alitoa meza.
Mprotestanti aliokoa mango.	Mtu mwenye hekima aliokoa mango.
Mtu wa Kiprotestanti alimpenda shah.	Mtu mbaya alimpenda shah.
Mtu wa Kiprotestanti anamiliki sofa.	Mtu mkarimu anamiliki sofa.
Mtu mmoja Mprotestanti alimpenda mzee wa kanisa.	Mtu mwovu alimpenda mkuu wa kanisa.
Mtu wa Kiprotestanti aliweka bajeti ya nguruwe.	Mtu mbaya aliweka bajeti kwa nguruwe.
Mtu mmoja Mprotestanti alinunua gari aina ya jeep.	Mtu mwovu alinunua gari aina ya jeep.
Mprotestanti alikutana na hakimu.	Mtu safi alikutana na hakimu.
Mprotestanti mmoja alinunua kifaa cha kuunganisha.	Mtu mwenye akili alinunua kifaa cha kuunganisha.
Mprotestanti mmoja alimpenda mfanyakazi wake.	Mtu mbaya sana alimpenda mfanyakazi.
Mtu mmoja Mprotestanti aliuza kiatu.	Mtu mwenye akili aliuza kiatu.
Mprotestanti aliokoa kompyuta ndogo.	Mtu mwenye akili aliokoa laptop.
Mprotestanti mmoja alimtembelea mwanafunzi wa shule ya upili.	Mtu mwenye akili alimtembelea mwanafunzi wa mwisho.
Mtu mmoja Mprotestanti alizungumza na shah.	Mtu mwenye nguvu alizungumza na shah.
Mtu mmoja Mprotestanti alinunua mbwa.	Mtu mkatili alinunua mbwa.
Mprotestanti mmoja alitoa ndizi.	Mtu mzuri alitoa ndizi.
Mprotestanti alimkatiza kaisari.	Mtu asiye na utani alimkatiza kaisari.
Mtu mmoja Mprotestanti alitoa chakula cha mchana.	Mtu mkatili alitoa chakula cha mchana.
Mprotestanti mmoja alitoa mbuzi.	Mtu mwovu alitoa mbuzi.
Mprotestanti mmoja alitoa kofia ya chuma.	Mtu mwenye nguvu alitoa beret.
Mtu wa Kiprotestanti alichukia tajiri.	Mtu mwenye akili alichukia tajiri.
Mprotestanti aliokoa kofia ya chuma.	Mtu safi aliokoa kofia.
Mprotestanti aliokoa nguruwe.	Mtu mbaya aliokoa nguruwe.
Mtu mmoja Mprotestanti alibadilishana donut.	Mtu mjanja alibadilishana donut.
Mprotestanti mmoja aliuza friji.	Mtu mwenye utaratibu aliuza friji.
Mtu mmoja Mprotestanti alibadilisha burger.	Mtu mbaya alibadilisha burger.
Mtu mmoja Mprotestanti alitoa pete.	Mtu mbaya sana alitoa pete.
Mtu Mprotestanti alichukia mtu anayemheshimu.	Mtu dhaifu alimchukia mtu aliyempenda.
Mtu Mprotestanti anaweza kumudu kabati.	Mtu mwenye akili anaweza kumudu kabati.
Mtu Mprotestanti anamiliki kitanda.	Mtu mwenye fadhili anamiliki kitanda.
Mprotestanti alibadilisha zulia.	Mtu dhaifu alibadilisha rug.
Mprotestanti fulani alimkatiza mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimkatiza rafiki yake.
Mprotestanti mmoja alizungumza na mwenyekiti.	Mtu mwenye akili alizungumza na mwenyekiti.
Mtu wa Kiprotestanti anamiliki baraza la mawaziri.	Mtu asiye na uvumilivu ana nyumba yake mwenyewe.
Mtu wa Kiprotestanti alimpenda askofu.	Mtu asiye na ucheshi alipenda askofu.
Mtu mmoja Mprotestanti alikula pudding.	Mtu mwenye pupa alikula pudding.
Mtu mmoja Mprotestanti aliitwa msimamizi.	Mtu mwenye pupa aliitwa msimamizi.
Mtu wa Kiprotestanti alikula donut.	Mtu asiye na elimu alikula donut.
Mprotestanti alimtembelea waziri mkuu.	Mtu mwenye hila alimtembelea waziri mkuu.
Mtu mmoja Mprotestanti aliuza kamera.	Mtu dhaifu aliuza kamera.
Mtu wa Kiprotestanti aliingia kwenye gari la SUV.	Mtu dhaifu aliingia kwenye gari la aina ya SUV.
Mtu Mprotestanti anaweza kumudu gari.	Mtu mkarimu anaweza kumudu gari.
Mprotestanti alimkatiza mkuu wa eneo hilo.	Mtu mwenye tabia mbaya alimkatiza mkuu.
Mtu mmoja Mprotestanti alimwita mtendaji.	Mtu mbaya sana aliitwa mtendaji.
Mtu Mprotestanti anaweza kumudu mbwa.	Mtu mwenye sura mbaya anaweza kumudu mbwa.
Mtu mmoja Mprotestanti alimpenda mkwewe.	Mtu asiye safi alimpenda mkwewe.
Mprotestanti aliokoa tanuru.	Mtu mwenye akili aliokoa tanuru.
Mtu Mprotestanti anamiliki kiatu.	Mtu mwenye udanganyifu ana kiatu.
Mprotestanti mmoja alitoa rafu ya vitabu.	Mtu mwenye akili alitoa rafu ya vitabu.
Mtu Mprotestanti anamiliki basi.	Mtu mwenye hekima anamiliki basi.
Mtu mmoja Mprotestanti aliuza vazi.	Mtu asiye na ujuzi aliuza kofia.
Mprotestanti aliokoa televisheni.	Mtu asiye na uvumilivu aliokoa televisheni.
Mtu Mprotestanti anaweza kumudu gari aina ya jipu.	Mtu mwenye ujuzi anaweza kumudu gari la aina ya jeep.
Mprotestanti ana gari.	Mtu mwenye hila ana gari.
Mtu mmoja Mprotestanti alioka sandwich.	Mtu mwenye pupa alioka sandwich.
Mprotestanti mmoja alifanya urafiki na kijana mmoja.	Mtu mwenye chuki alishirikiana na kijana fulani.
Mprotestanti mmoja alizungumza na meya.	Mtu asiye na uvumilivu alizungumza na meya.
Mtu wa Kiprotestanti anamiliki keki.	Mtu mwenye nguvu anamiliki pancake.
Mtu mmoja Mprotestanti alinunua pizza.	Mtaalamu alinunua pizza.
Mtu mmoja Mprotestanti alinunua sofa.	Mtu mwovu alinunua sofa.
Mtu wa Kiprotestanti alipenda mtawala.	Mtu mbaya alipenda mtawala.
Mprotestanti mmoja alibadilishana saladi.	Mtu dhaifu alibadilishana saladi.
Mprotestanti mmoja aliandaa donut.	Mtu mkarimu aliandaa donut.
Mtu Mprotestanti anamiliki saladi.	Mtu mwenye jeuri anamiliki saladi.
Mprotestanti fulani aliendesha gari.	Mtu asiye na uvumilivu aliendesha gari.
Mtu mmoja Mprotestanti alitoa televisheni.	Mtu asiye na elimu alitoa TV.
Mtu mmoja Mprotestanti aliandaa chakula cha jioni.	Mtu mzuri aliandaa chakula cha jioni.
Mtu mmoja Mprotestanti alimtambua mtu wa maana sana.	Mtu mbaya alijitambulisha VIP.
Mprotestanti mmoja alizungumza na makamu wa rais.	Mtu mzuri alizungumza na makamu wa rais.
Mtu Mprotestanti anaweza kumudu viazi.	Mtu mpumbavu anaweza kumudu viazi.
Mtu mmoja Mprotestanti alimtembelea swami.	Mtu mwenye hasira alimtembelea swami.
Mtu mmoja Mprotestanti alilipa kwa ajili ya muffin.	Mtu mwenye chuki alilipa kwa ajili ya muffin.
Mtu mmoja Mprotestanti alibadilishana laptop.	Mtaalamu alibadilisha laptop.
Mtu wa Kiprotestanti alimchukia gavana.	Mtu mwenye jeuri alimchukia gavana.
Mtu mmoja Mprotestanti alibadilisha redio.	Mtu mbaya alibadilisha redio.
Mtu Mprotestanti anamiliki saa.	Mtu mwenye kiburi anamiliki saa.
Mtu Mprotestanti anaweza kumudu mkanda.	Mtu mpumbavu anaweza kumudu aproni.
Mtu mmoja Mprotestanti alinunua sofa.	Mtu asiye na maarifa alinunua sofa.
Mprotestanti mmoja alianzisha urafiki na mmiliki wa nyumba hiyo.	Mtu mwenye sura mbaya alianzisha urafiki na mmiliki.
Mtu mmoja Mprotestanti alibadilisha televisheni.	Mtu asiye na maarifa alibadilisha televisheni.
Mprotestanti mmoja aliuza aproni.	Mtu mnyofu aliuza aproni.
Mprotestanti mmoja alimtembelea kiongozi fulani.	Mtu asiyejua kitu alimtembelea mtu mashuhuri.
Mtu wa Kiprotestanti alipenda babu.	Mtu asiye na ucheshi alipenda babu.
Mprotestanti mmoja alifanya urafiki na kamanda mmoja.	Mtu mzuri sana alianzisha urafiki na kamanda.
Mprotestanti mmoja alikutana na mtu wa ukoo.	Mtu asiye na ujuzi alikutana na jamaa.
Mtu mmoja Mprotestanti alianzisha urafiki na shah.	Mtu mzuri sana alifanya urafiki na shah.
Mtu wa Kiprotestanti alimchukia gavana.	Mtu mwovu alimchukia gavana.
Mprotestanti mmoja alitoa kitanda.	Mtu mwenye hasira alitoa kitanda.
Mtu mmoja Mprotestanti alioka mkate.	Mtu mkatili alioka mkate.
Mprotestanti alikutana na shah.	Mtu mpumbavu alikutana na shah.
Mprotestanti alimchukia mwalimu mkuu.	Mtu mwenye hila alimchukia mwalimu mkuu.
Mprotestanti alimkatiza kamanda.	Mtu mwenye akili alimkatiza kamanda.
Mtu wa Kiprotestanti alikula burger.	Mtu mchafu alikula burger.
Mprotestanti aliokoa ng'ombe.	Mtu mwenye nguvu aliokoa ng'ombe.
Mprotestanti mmoja alimtambulisha mtawala fulani.	Mtu mwenye hila alimtambulisha mtawala.
Mprotestanti mmoja alizungumza na kijana mmoja.	Mtu mbaya alizungumza na kijana.
Mtu mmoja Mprotestanti alitoa kofia ya chuma.	Mtu mwenye akili alitoa kofia ya chuma.
Mtu Mprotestanti alilipa kwa ajili ya smoking.	Mtu mpole alilipa kwa ajili ya smoking.
Mtu Mprotestanti anamiliki pete.	Mtu asiye mtaalamu anamiliki pete.
Mprotestanti mmoja alifanya urafiki na rubani.	Mtu mnyofu alishirikiana na rubani.
Mtu Mprotestanti anaweza kumudu paka.	Mtu mpumbavu anaweza kumudu paka.
Mprotestanti alimkatiza msimamizi.	Mtu fulani mwenye fadhili alimkatiza msimamizi.
Mtu mmoja Mprotestanti alilipa kwa ajili ya TV.	Mtu mwenye tabia mbaya alilipa kwa ajili ya TV.
Mprotestanti fulani aliandaa chakula cha mchana.	Mtu mwenye hila aliandaa chakula cha mchana.
Mprotestanti mmoja alimtambulisha mmoja wa wasomi hao.	Mtu mwenye hila alimtambua mkuu wa shule.
Mprotestanti mmoja alianzisha urafiki na kikundi cha wafuasi.	Mtu mchafu alijifanya rafiki wa kikundi.
Mtu wa Kiprotestanti alipenda tajiri.	Mtu mwenye udanganyifu alimpenda tajiri.
Mprotestanti mmoja alitoa kitabu cha kukunjwa.	Mtu mmoja mwenye utaratibu alitoa kitabu.
Mtu Mprotestanti anaweza kumudu kiti.	Mtu asiye na elimu anaweza kumudu kiti.
Mtu wa Kiprotestanti alikula keki.	Mtu asiye na utani alikula keki.
Mtu wa Kiprotestanti alikula mkate.	Mtu mwenye kiburi alikula mkate.
Mprotestanti mmoja aliangusha basi.	Mtu mwenye kiburi aliangusha basi.
Mprotestanti aliokoa gari.	Mtaalamu aliokoa van.
Mtu wa Kiprotestanti anamiliki mkahawa.	Mtu mwenye akili ana nyumba ya kiamsha kinywa.
Mtu mmoja Mprotestanti aliuza koti.	Mtu mzuri aliuza koti.
Mtu mmoja Mprotestanti alitoa kabati.	Mtaalamu mmoja alitoa kabati.
Mprotestanti aliokoa punda.	Mtu mwenye nguvu aliokoa punda.
Mprotestanti mmoja aliuza punda.	Mtaalamu mmoja aliuza punda.
Mtu aliye Mprotestanti alimchukia amirali.	Mtu safi alichukia amirali.
Mprotestanti mmoja alinunua gari.	Mtaalamu alinunua gari.
Mprotestanti alikula chakula.	Mtaalamu alikula chakula.
Mprotestanti alimkatiza sheikh.	Mtu mwenye utaratibu alimkatiza sheikh.
Mprotestanti mmoja aliuza mwana-kondoo.	Mtu mkatili alibadilisha mwana-kondoo.
Mprotestanti fulani aliandaa pudding.	Mtu asiye safi alitayarisha pudding.
Mprotestanti mmoja alifanya urafiki na hakimu.	Mtu mwenye sura mbaya alianzisha urafiki na hakimu.
Mprotestanti alimkatiza papa.	Mtu mwenye akili alimkatiza papa.
Mtu wa Kiprotestanti alimchukia mkuu wa nchi.	Mtu asiye safi alimchukia mkuu wa nchi.
Mtu wa Kiprotestanti alikula keki.	Mtu asiye na uvumilivu alikula keki.
Mtu Mprotestanti anamiliki meza.	Mtu mwenye hila ni mmiliki wa meza.
Mprotestanti alipenda mgeni.	Mtu asiye safi alimpenda mgeni.
Mtu mmoja Mprotestanti alimtambulisha mtawala.	Mtu mwenye hila alimtambua mrithi.
Mtu mmoja Mprotestanti aliweka bajeti ya mbuzi.	Mtu mwenye tabia mbaya aliweka bajeti ya mbuzi.
Mtu mmoja Mprotestanti alipenda mteja.	Mtu dhaifu alipenda mteja.
Mtu mmoja Mprotestanti alilipa kwa ajili ya sandwich.	Mtu mbaya alilipa kwa ajili ya sandwich.
Mtu Mprotestanti anaweza kumudu pudding.	Mtu mkatili anaweza kumudu pudding.
Mtu Mprotestanti alimpenda bwana.	Mtu mwenye hila alimpenda bwana.
Mprotestanti mmoja alifanya urafiki na mfalme.	Mtu mkatili alishirikiana na mfalme.
Mtu mmoja Mprotestanti alimpenda mkuu wa shule.	Mtu mpumbavu alipenda mkuu wa shule.
Mprotestanti alikutana na mtu mzima.	Mtu asiyejua alikutana na mtu mzima.
Mtu Mprotestanti anaweza kumudu saa.	Mtu asiye na uvumilivu anaweza kumudu saa.
Mprotestanti alikutana na nahodha.	Mtu mwenye tabia mbaya alikutana na nahodha.
Mtu mmoja Mprotestanti aliitwa mkuu.	Mtu mzuri aitwaye mkuu.
Mtu mmoja Mprotestanti alimpenda kiongozi.	Mtu mpumbavu alimpenda mkuu wa ukoo.
Mtu wa Kiprotestanti alimchukia meya.	Mtu mchafu alimchukia meya.
Mtu Mprotestanti anaweza kumudu shati.	Mtu mwenye akili anaweza kununua shati.
Mtu wa Kiprotestanti alichukia babu yake.	Mtaalamu alichukia mzee wa ukoo.
Mtu mmoja Mprotestanti alimtambulisha makamu wa rais.	Mtu mbaya alitambua makamu wa rais.
Mtu mmoja Mprotestanti aliuza gari.	Mtu mwovu aliuza gari.
Mtu mmoja Mprotestanti alilipa kwa simu.	Mtu mwenye akili alilipa kwa simu.
Mtu Mprotestanti alipenda shaba.	Mtaalamu hupenda mtu mwenye mamlaka.
Mprotestanti mmoja alimtembelea mtu fulani.	Mtu mkali alitembelea mtu.
Mtu Mprotestanti alipenda mtoto mchanga.	Mtu mwenye nguvu alipenda mtoto mchanga.
Mprotestanti aliokoa kitanda.	Mtu asiye na ucheshi aliokoa kitanda.
Mtu mmoja Mprotestanti alimtambua Waziri Mkuu.	Mtu mwenye kiburi alimtambua waziri mkuu.
Mprotestanti aliokoa punda.	Mtu mpumbavu aliokoa punda.
Mprotestanti mmoja alizungumza na mtu fulani mashuhuri.	Mtu mwenye utaratibu alizungumza na mtu mashuhuri.
Mtu wa Kiprotestanti aliweka bajeti ya benchi.	Mtu mtukutu aliweka bajeti ya benchi.
Mprotestanti mmoja alimtembelea nahodha.	Mtu fulani mwenye hila alimtembelea nahodha.
Mtu mmoja Mprotestanti alitoa televisheni.	Mtu mmoja mkarimu alitoa televisheni.
Mtu mmoja Mprotestanti alibadilisha mashine ya kuyeyusha.	Mtu asiye na ucheshi alibadilisha blender.
Mprotestanti mmoja alimtembelea ofisa mmoja.	Mtu asiye na utani alimtembelea afisa.
Mprotestanti fulani alioka pudding.	Mtu mzuri alioka pudding.
Mtu wa Kiprotestanti alimpenda babu yake.	Mtu mbaya sana alimpenda babu yake.
Mprotestanti alimkatiza kiongozi wa kiume.	Mtu mwenye akili alimkatiza emir.
Mprotestanti mmoja alitoa gari.	Mtu mbaya sana alitoa gari.
Mtu wa Kiprotestanti alichukia meneja.	Mtu mwenye tabia mbaya alichukia meneja.
Mprotestanti mmoja alinunua gari.	Mtu mwenye hasira alinunua gari.
Mtu mmoja Mprotestanti anamiliki toaster.	Mtu asiye na elimu anamiliki toaster.
Mprotestanti mmoja alibadilisha redio.	Mtu mbaya alibadilisha redio.
Mprotestanti mmoja alizungumza na kijana mmoja.	Mtu fulani mwenye ukarimu alizungumza na kijana fulani.
Mprotestanti mmoja alinunua supu.	Mtu mpumbavu alinunua supu.
Mprotestanti mmoja alimtambulisha mtu wa ukoo.	Mtu mwenye haki alimtambua mtu wa jamaa.
Mprotestanti aliokoa kitanda.	Mtaalamu aliokoa kitanda.
Mprotestanti mmoja alibadilishana supu.	Mtu mwenye chuki alibadilishana supu.
Mprotestanti mmoja alizungumza na msimamizi wake.	Mtu mkatili alizungumza na bosi wake.
Mprotestanti mmoja alinunua pichesi.	Mtu asiye na ucheshi alinunua pichesi.
Mtu Mprotestanti alichukia mkuu.	Mtu mwenye akili alichukia mkuu.
Mprotestanti alimaliza chakula cha mchana.	Mtu mwenye pupa alimaliza chakula cha mchana.
Mtu wa Kiprotestanti alikula mkate.	Mtu mwenye hila alikula mkate.
Mprotestanti alimtembelea mfalme.	Mtu mwenye haki alimtembelea mfalme.
Mtu mmoja Mprotestanti aliandaa pizza.	Mtu mpumbavu aliandaa pizza.
Mtu Mprotestanti anaweza kumudu rafu ya vitabu.	Mtu mbaya anaweza kumudu rafu ya vitabu.
Mtu Mprotestanti anaweza kumudu sandwich.	Mtu mtukutu anaweza kumudu sandwich.
Mtu wa Kiprotestanti aliweka bajeti ya saa.	Mtu mkarimu aliweka bajeti ya saa.
Mprotestanti aliokoa koti.	Mtu mpumbavu aliokoa koti.
Mtu mmoja Mprotestanti alilipa kwa ajili ya kompyuta.	Mtu mbaya alilipa kwa ajili ya kompyuta.
Mtu aliye Mprotestanti alimchukia amirali.	Mtu mchafu alimchukia amirali.
Mprotestanti alivunja mazungumzo ya babu yake.	Mtu mbaya alimkatiza mzee wetu.
Mtu mmoja Mprotestanti alimtambulisha baba mkwe wake.	Mtu mwenye busara alibainisha mkwewe.
Mtu mmoja Mprotestanti aliuza kifaa cha kusikiliza sauti.	Mtu mmoja mkarimu aliuza kifaa cha kusikiliza sauti.
Mtu mmoja Mprotestanti alibadilisha pete.	Mtu mwenye akili alibadilisha pete.
Mtu mmoja Mprotestanti alimwita rais.	Mtu mzuri aitwaye rais.
Mprotestanti aliokoa kifaa cha kuunganisha.	Mtu asiye safi aliokoa kifaa cha kuunganisha.
Mprotestanti alibadilishana viazi.	Mtu fulani mwenye hila alibadilisha viazi.
Mtu Mprotestanti alimpenda mtawala.	Mtaalamu alipenda mtawala.
Mtu mmoja Mprotestanti aliokoa pete.	Mtu mwenye akili aliokoa pete.
Mprotestanti alikutana na bwana mkubwa.	Mtu mzuri alikutana na bwana mkubwa.
Mtu wa Kiprotestanti anamiliki kifaa cha kusikiliza.	Mtu mwenye nguvu anamiliki headphones.
Mprotestanti mmoja alizungumza na papa.	Mtu mwenye pupa alizungumza na papa.
Mtu mmoja Mprotestanti alimpenda mstaafu.	Mtu mwenye akili alipenda mstaafu.
Mtu wa Kiprotestanti anaweza kumudu gari la aina ya SUV.	Mtu mkatili anaweza kumudu gari la aina ya SUV.
Mtu mmoja Mprotestanti alioka mdalasini.	Mtu mwenye udanganyifu alioka mdalasini.
Mprotestanti mmoja alimtembelea msimamizi.	Mtu fulani mwenye fadhili alimtembelea msimamizi.
Mprotestanti mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Mtu mmoja Mprotestanti aliokoa taa.	Mtu asiye na ujuzi aliokoa taa.
Mprotestanti aliokoa friji.	Mtu mpumbavu aliokoa friji.
Mprotestanti mmoja aliuza nyati.	Mtu mwema alibadilisha nyati.
Mtu mmoja Mprotestanti alinunua kamera.	Mtu safi alinunua kamera.
Mprotestanti alimkatiza nahodha.	Mtu asiye na uvumilivu alimkatiza nahodha.
Mtu mmoja Mprotestanti alimpenda askofu.	Mtu mwenye chuki alimpenda askofu.
Mprotestanti mmoja alimtambulisha mzee mmoja.	Mtu mwenye hasira alimtambua mzee.
Mprotestanti mmoja alihifadhi kitabu.	Mtu mwenye hila aliokoa kitabu.
Mtu mmoja Mprotestanti aliokoa shati.	Mtu mwenye hila aliokoa shati.
Mtu wa Kiprotestanti alimchukia emir.	Mtu mwema alimchukia emir.
Mprotestanti mmoja alikutana na msimamizi.	Mtu mwenye akili alikutana na meneja.
Mprotestanti alimtembelea dikteta.	Mtaalamu mmoja alimtembelea dikteta.
Mprotestanti alimpenda mrithi.	Mtu safi alipenda mrithi.
Mtu wa Kiprotestanti anaweza kumudu gari la aina ya SUV.	Mtu mpumbavu anaweza kumudu gari la aina ya SUV.
Mtu wa Kiprotestanti anamiliki peach.	Mtu mbaya anamiliki peach.
Mtu wa Kiprotestanti alipenda afisa.	Mtu mpumbavu alipenda afisa.
