aabid	abida
ashak	astha
asharam	rama
ashfaq	aysha
ashif	ashmi
ashik	sashikala
ashiqu	ashnu
ashish	kashis
ashishi	shrishti
ashiya	anshiya
ashlam	vashila
ashok	khasbhoo
ashraf	ashrabi
ashrfi	shri
ashshwer	shahera
ashsish	yashsvi
ashu	durgash
ashutosh	ashtha
ashwani	ashwani
ashwini	ashmin
asi	amasi
asif	batasi
asish	raisha
asiwani	aswani
aslam	mausam
asrf	alahbasri
asruddin	fasrun
asutosh	satosh
aswin	jaswinder
atanu	tanu
ateek	tek
atif	ajkati
atish	satish
atitaj	taj
atu	batul
atul	matul
avadh	vadhi
avdesh	dinesh
avdhesh	maheshar
avfesh	naresh
avinas	ravina
avinash	savina
avinsh	nainshi
avnish	tanisha
avnit	kavit
avtar	bavita
awdesh	sarwesh
awdhesh	dhaneshwari
awedhesh	maneesha
axat	aatikun
ayan	aayana
ayub	ayushi
ayube	juber
ayush	ayasha
azad	gulnaza
azam	nazama
azaruddin	hudi
azaz	shahnaza
azhar	gilbahar
azim	nazima
azruddin	nazrin
baam	badami
babalu	babali
baban	babita
babar	bhawar
babbu	babbu
babli	babli
babloo	batloon
bablu	babbli
babram	bsram
babu	banu
babudden	deena
babuddin	babbi
babul	bala
babulal	lali
babupuri	nupur
baburam	iram
baccha	aachal
bacche	bahalen
bacchu	bahnu
bachan	kachan
bachcha	machhala
bachheshwar	eshwari
bachhu	anchhi
bachu	panchu
bada	badarjahan
badal	bagdai
badan	bandana
badnath	amna
badri	badri
badrudeen	badru
badrulla	parul
badshya	bidhya
baga	bagga
bagaram	fara
baggusingh	guni
bagwan	bhagwan
bahadur	dur
bahart	bhart
bahrat	bharati
baichan	archana
baidnath	nathu
baijnath	alina
bajinder	rajinder
bajrang	basiran
bajrangi	rajrani
bajulal	balalia
baksi	saksi
bal	balbiri
balak	madhubala
balam	sasibala
balaram	bali
balbeer	baljeet
balbir	balti
balchand	chand
baldev	dev
baleshwar	baleshwari
baleshwer	kalpeshwari
baliram	baliya
baljeet	kamlajeet
baljinder	balvinder
balkishan	kishan
ballu	billu
balmiki	amie
balraj	raji
balram	shashibala
balveer	jasveer
balvinder	vinder
balwan	balwanti
balwant	bhagwanti
banarsi	arsi
bandu	bantu
bangali	gali
baniya	banita
banju	anju
bannu	bhanu
banshi	nanshi
bansi	mansi
bansilal	sila
banti	basnti
banty	bunty
banwari	bhanwar
banwarilal	sarla
bapu	papu
barham	barkha
barj	arjina
barjesh	brajesh
barjraj	rajl
barkat	barakha
basant	basanta
basanta	basanti
bashudev	bhudevi
basibul	nasibu
basir	nasir
baudi	papudi
bawan	bahwana
bechan	dhan
beekar	beena
beenu	meenu
beeram	beera
beeru	neeru
begraj	rajo
benay	beby
benu	beni
beragi	ragni
bhabhav	bhabhiya
bhaddal	dali
bhadur	bhura
bhag	bhaggo
bhagat	bhagvati
bhagipuri	bhagirathi
bhagirath	bharkah
bhagvaan	bhavana
bhagvati	bhagwati
bhagwan	bhagwani
bhagwana	bhawana
bhagwanaram	bhawani
bhagwat	bhagya
bhagwati	bhawari
bhahadur	durga
bhajan	jani
bhajandeep	deepu
bhajanlal	gajala
bhajju	haju
bhala	bhavna
bhalaram	hazara
bhan	bhanmati
bhani	bhakuni
bhanu	bhanumati
bhanvar	bhawna
bhanwar	bhanweri
bhanwer	bhateri
bharat	bharti
bharatlal	hazra
bharma	bharkha
bhart	simabharti
bhartendu	nadu
bhasker	sera
bhauk	bhanupriya
bhavesh	shalesh
bhavisaya	samya
bhavishy	hari
bhavishya	shiya
bhavuk	hazu
bhawan	hawa
bhawani	bhiwani
bheem	mobsheera
bheema	hema
bhemji	jai
bherav	heera
bhhatu	natu
bhikhari	bhiki
bhim	labbhi
bhima	bima
bhimsen	mena
bhisan	sana
bhismpal	bhopal
bhiva	bivla
bhojaram	jakra
bhojpal	bholi
bhola	dhola
bholaram	lada
bhole	phol
bholu	khushbhu
bhonu	bishnu
bhoop	khusbhoo
bhoopsingh	gopi
bhopal	gopal
bhorelal	bhori
bhotra	tara
bhram	bushra
bhramanand	mana
bhrat	bhatri
bhrkat	brkha
bhud	khubhu
bhudev	devi
bhudhashen	hena
bhudhi	bhundki
bhulaee	phul
bhulan	bhuli
bhuneshwar	keshar
bhup	khusbhu
bhupen	rupen
bhupendar	genda
bhupender	rupender
bhupendra	indra
bhupesh	bipnesh
bhura	bhuri
bhuralal	busra
bhure	hury
bhuri	hurji
bhusan	husana
bhushan	usha
bhuvneshwar	munesh
bhuwan	budhwanti
bidur	bindu
biitu	binita
bijander	jatinder
bijender	tejender
bijendra	binda
bikki	nikki
bikram	birma
bilal	bimla
bimlesh	bimlesh
binani	bina
bindu	binu
binja	bijali
binnu	binnu
binpal	dipa
bintu	mintu
bipin	vipin
bir	birmadevi
biraj	niraj
birajbhushan	shana
birajpal	kajal
biram	bidami
biran	bigan
birbal	iqra
birender	narender
birgesh	durgesh
birij	girija
birjesh	girjesh
birju	irtu
birpal	kirpa
biru	jasbir
bishan	ishrana
bishana	kishana
bishesh	isnesh
bishun	dishu
bisto	bitoo
bittan	tane
bitto	bitto
bittoo	bitona
bittu	nitu
bobbi	bobi
bobi	shabbi
boby	babby
bodh	bohati
bodu	khashbu
boduram	ugam
braham	radha
brahamprakash	prakshi
brahmanand	nanda
braj	charanjeet
brajendra	rajenderi
bram	birmati
brij	riju
brijesh	rajesh
brijlal	dila
brijmohan	mohan
brijnandan	brinda
brijpal	ranipal
brijshwaer	rishu
buddha	budho
buddhi	buchhi
budh	bushara
budhan	dhana
budhi	juhi
budhram	dhrama
budhu	deu
buhan	suhana
bulad	ladi
bulet	beti
bunda	sundga
bundel	belo
bundhu	indu
bunti	kunti
bunty	buity
bupal	rupal
busness	sneh
chabi	chhabi
chajju	charu
chakra	chandra
chaman	chaman
chamanlal	chama
champa	champa
chanchal	chanchal
chand	chanda
chanda	chandan
chandan	chandani
chandar	chander
chanden	chandni
chander	chanderkala
chanderbal	chanderkali
chandermani	mani
chanderpal	chanderpati
chandesh	chnda
chandeshwar	dhaneswar
chandi	chandini
chandki	chandkor
chandpreet	pree
chandra	chandracala
chandrashekhar	chando
chandreshwar	resham
chandrram	chandrika
chandru	chanderkanta
chandu	channu
charan	harana
charanjeet	charnjeet
charnjeet	harneet
chatan	chetan
chatar	bhatari
chaterpal	rampal
chaturbhuj	chahat
cheddi	chameli
cheete	tej
chela	shela
chertamani	mandi
chet	chetana
chetan	chetna
chetanram	hetal
chetanya	tanya
chetna	sucheta
chetram	chitra
chettan	ekta
chhabeel	shabreen
chhabil	chhavi
chhagan	chhagana
chhanoyar	chhano
chhantu	chhanya
chhatar	chhaterwati
chhedilal	diya
chhidu	chhoti
chhinderpal	depali
chhitar	chinta
chhotelal	choti
chhotu	chhotudevi
chiddu	rikkenchi
chinku	chinki
chintan	archita
chintu	pintu
chinu	rachnu
chirag	suchitra
chiranjavi	anja
chitprit	priti
chitra	chitro
chitrangan	ranjan
chitranjan	niranjan
chitu	minakchi
choga	gulpacha
chom	rencho
chootu	hoor
chorag	jhora
chosh	khooshboo
chotan	chotibai
chote	chotti
chotelal	kela
chottu	chuni
chotu	jhoti
chotum	uma
choturam	raman
chran	khanchan
chtar	akhatari
chtarpal	saral
chunaram	husnara
chunni	chunni
chunnu	jhunnu
chura	humera
daaud	dhapa
dabbu	tabbusum
dabu	chandabai
dakch	dhakha
daks	bindvasini
daksh	diksha
dakshina	darshna
dakshya	lakhya
dal	daljit
dalchand	kanchan
daler	arvinder
dalip	dipali
daljeet	manjeet
dalpat	dolat
dama	padama
daman	asman
damanjeet	taranjeet
damodar	mohd
dana	vandana
daniel	annielal
danveer	daveena
dara	indara
darshan	darshana
dasharath	ishrat
dashrath	shathi
dataterya	riya
dauad	anuja
dauji	fauji
davender	devender
davendra	devendri
davinder	ravinder
daya	dayavati
dayal	payal
dayaram	sayara
deba	jeba
deelip	deepali
deen	devideen
deendyal	deeya
deepa	deepak
deepaak	deepmala
deepak	deepka
deepali	deepanti
deepan	deepanshi
deepanker	panku
deepanshu	nishu
deepansu	sus
deepchand	chanab
deepender	indera
deepi	deepti
deepika	deepika
deepnarayan	naryani
deepu	sukhdeep
deepvhand	evan
deeraj	neeraj
deerendra	jeeren
deewan	jewa
denesh	deeksha
deni	nandni
depander	palvinder
desh	sudesh
deshraj	sira
dev	devanti
deva	devya
devanand	meva
devasheeh	varsh
devashish	rashi
devasish	seva
devdhari	vidha
devender	surender
devendr	devyani
devendra	inda
devesh	deepshikha
devi	devika
devid	devki
devik	devli
devilal	devkali
devinder	vinod
devindra	indta
devki	dhakhadevi
devkran	rani
devpal	dimpal
devraj	neraj
dhalchand	chango
dhamender	amena
dhan	aradhana
dhananjai	dhanni
dhananjay	sanjay
dhaney	dhaniya
dhani	ramdhani
dhanjay	hanja
dhanna	midhana
dhannu	dhapu
dhanpat	dhanpati
dhanraj	shanaj
dhansinghpuri	jhansi
dhanu	shanu
dhara	dharamvati
dharam	dharamveeri
dharambir	rambai
dharamender	harinder
dharampal	kamal
dharamveer	veera
dharamvir	prami
dharm	dharmshila
dharmandra	manira
dharmbir	karmi
dharmender	areen
dharmendera	namen
dharmendr	renu
dharmendra	nida
dharminder	raminder
dharmpal	pampa
dharmraj	amrta
dharmveer	veero
dharmvir	harmit
dharvesh	harshi
dhawal	dhanwanti
dheeraj	hemraj
dheerendra	heena
dhermendra	indira
dhiraj	hiri
dhirender	viren
dhirpal	irfa
dhiru	khairu
dhisa	disha
dhmendar	meena
dhram	yashdhra
dhrambir	rambiri
dhramender	fra
dhrampal	ramba
dhrampla	kamla
dhramveer	veeru
dhreej	harleen
dhrmveer	meera
dhruv	ruvi
dhukhu	sukh
dhulin	dholi
dhurav	shorav
dhurender	gurvinder
dhurpati	dropati
dhuruv	madhuri
dhurv	maadhuri
dhurve	turveny
dibakar	paka
digamber	mero
digvijay	vijay
dikshant	dilshana
dil	dilish
dilawar	ishawar
dilbar	gila
dildar	ilma
dilip	disi
diljan	fija
dilkush	dilkhush
dilsad	irsad
dilsah	snah
dilshad	vidisha
dilvar	divya
dimpal	vimal
dimpu	tipu
dimpy	rimpy
dineesh	neesha
dinesh	rinesh
dinkar	ikara
dipak	dipika
dipanshu	dipanshi
dipansu	diwansi
dipendra	jitendra
dipu	dipeeka
dirgaj	mira
disha	lisha
dishad	nisha
dishant	shanta
divaie	divy
divakar	saka
divansh	vasu
divaraj	itvarya
divy	bindiya
divyansh	dixya
diwakar	dwarika
diwan	siwani
dolat	foolmati
doodhnath	arthi
dord	dhodi
dorilal	doli
doulat	deou
dowlat	dolo
druga	durgabai
dukhi	ruhi
dulal	dulari
dular	rajdulari
dulichand	limca
dumnik	dumani
dund	badrunisha
duni	majidunisha
duraga	durgawati
durg	jaydurga
durga	surgayani
durgalal	gajla
durganand	uganta
durgashankar	shankar
durgesh	suresh
durgpal	rupa
durjan	puja
durvesh	urvashi
dushyant	shano
dwarika	dariya
dwarka	reka
dya	gudya
ebane	zeba
edris	gendi
ehasan	kehkasa
eklok	kallo
ekram	ekamjeet
eldro	dropti
eliyas	aliya
elwin	keli
emilia	mili
emran	hemani
esrail	rahil
etahsaam	sanam
ezaz	shenaz
fahim	fahija
faijal	faijina
faim	fatima
faimuddin	amuda
faisal	salu
faiyaaz	saiyada
faiz	fahira
faizal	fazia
faizan	farzana
faizudeen	fareen
faizur	fakiri
fakerey	rakhee
fakrrudeen	rubee
fakrudeen	fareena
fanni	manni
faqir	farah
faran	farana
farhan	farhana
farid	farida
farjand	farjana
farku	klu
farmaan	faraha
farman	manu
faroj	firoj
farukh	paru
fateh	ifteshyam
faujdar	suda
fazaley	aaliya
fazaz	farhanaz
fazulla	fauina
feru	jenifer
fhaishal	shalu
fharman	moharan
fida	firida
firakat	frra
firasat	irshrat
firoj	firoja
firoz	firoz
firtu	firdous
fitrat	sitra
fiyaz	safiya
forshan	roshan
fulmiya	fuli
furkan	ranu
furkhan	muskhan
gaffar	gayatri
gaffur	gaura
gafur	gauri
gagan	gyaan
gagandeep	sandeep
gahnshyam	nesha
gajender	tajinder
gajendra	gajana
gajraj	laja
galiya	haliya
galu	lalmuni
gandharv	sugandha
gandhi	nanhi
ganesh	ganesi
ganeshi	nenshi
ganga	gangajali
gangadhar	gango
gangaram	namra
ganpat	gyan
ganpati	atiq
ganpatram	nana
gantantra	ganita
gappu	gattu
garib	gargi
garsh	gyarsi
garupal	rupali
garv	bhgavti
gaurav	garima
gauravgil	lavi
gauri	gawri
gautam	satnam
gawali	nawali
geernish	geet
geesa	geeta
geeta	geetanjali
gensingh	nensi
ghan	meghana
ghanshayam	mansha
ghanshyam	hansa
ghansyam	asiya
ghantoli	santo
ghaseeta	seeta
ghasiram	hamsiran
gheesa	neesa
ghisaram	saira
ghurul	gul
girdhari	aktri
giri	girijarani
giriraj	gori
girish	girishchandra
girishi	sirish
girjesh	girja
girraj	sagira
girwer	joginder
givinda	govind
gjender	gendu
gladwin	ladu
gobind	bindi
gokul	goldy
goldi	goldan
goldy	doly
gollu	gouri
golu	koilu
gomti	gomati
gonsan	gona
goopi	angoori
gopal	gora
gopesh	lokesh
gopi	gotiya
gopiram	prya
gora	kushagra
gorav	gosia
gordhan	noorjhan
gordhanlal	radhadalal
goruav	ruka
gorv	ajnoor
gotam	sanjogta
gourav	gulran
gouri	gurmit
goutam	mota
goverdhan	versha
govind	jasvinder
govinda	jina
grish	risabh
gruchran	ruchi
guddu	guddo
gudiya	gudiya
gufraan	gulfara
gufran	frjana
gugna	gunja
gul	gulab
gulab	gulabsha
gulam	gulfsa
gulashan	gulafshan
gulfam	gulafsa
gulfan	guljan
guljar	gulnaj
gulreg	gulesta
gulshad	gulsha
gulshan	gulshan
gulsher	gulafsha
guluram	gulnaz
guman	suman
gunanidhi	nidhi
gur	gurdeep
gurbachan	rachana
gurbax	gulabsa
gurcharan	asrani
gurdarshan	sohan
gurdayal	gudia
gurdeep	gurjeet
gurfaan	gulfasa
gurjeet	gurmeet
gurjit	rita
gurlal	gulfsal
gurmeet	gurpreet
gurmit	riti
gurnam	punam
gurpreet	gurupreet
gurprit	ritu
gursimaran	sima
gurubaksh	gulbasha
gurucharan	rukhar
gurudut	guldasta
gurupreet	preet
guruvachan	chanpa
gurvinder	raghuvinder
gutam	sahgufta
gya	gyatri
gyan	subhagya
gyandeep	sandeepa
gyanender	nena
gyanendra	neni
gyanu	anuu
gyanwati	danwati
gyarsi	gyattri
habib	habiba
hadarali	ramli
haider	chanderwati
haji	shajiya
hajrat	hajrati
hakam	hagami
hakimuddin	halki
haliya	kaushaliya
halke	mithalesh
halkuji	ruji
hament	harmeet
hamid	hamida
hamza	karishama
handu	chandrawati
haneef	aneeta
hani	jahani
hanif	himani
hanish	shanichari
hanni	annavi
hanny	shanno
hanshraj	suraj
hansraj	maharaj
hanuman	anjuman
hanumanram	kumara
har	akthari
harak	harbai
hararat	sararwati
harbanschauhan	harbas
harbansh	taran
harbhajan	parbha
harbinder	rabin
harbir	manbharbai
hardam	sharda
hardas	sarda
hardass	rada
hardeep	navdeep
hardev	mahadevi
hardik	neharika
harees	harpreet
harender	pushpender
harendra	jharna
hareshwar	parmeshwari
hari	jhanjhariya
harib	manbhari
harichand	richa
haridutt	harjit
hariesh	shahrish
harikishan	pariksha
harimohan	mohani
harinarayan	rina
harinder	rinke
hariom	hamim
hariram	hazira
harish	nargish
harishankar	krishan
harishchandr	karishma
harishen	pari
harison	sona
harjeet	parmjeet
harji	manohari
harkesh	nargesh
harman	shama
harmani	dhamini
harnam	shabnam
harpal	subhapal
harprasad	saida
harpreet	grpreet
harshdeep	himanshee
harshit	harshita
harshmeet	meeta
harun	sharuna
harvans	shavani
harvansh	parvashi
harvinder	parvin
harwindra	sarin
hasan	asana
haseem	naseem
haseen	haseena
hashim	shashi
hashrat	sharshwati
hasibul	hasmi
hasim	nasim
hasina	asmina
hasir	shasi
hasrat	asmat
hassan	sano
hawa	ishawari
hayatul	hyatun
hazari	hajari
hazi	shazida
hazrat	azmira
heeera	sheela
heera	meeramai
heeralal	ladli
hema	hemanti
hemanshu	himanshu
hemant	hemlat
hemraj	iema
henkhochon	hongsi
hera	sumanthra
hifjul	juli
himal	shimala
himanshu	himanshi
himansu	himansi
himashu	rimasha
himmat	mamt
hira	mubshshira
hiralal	nirjala
hiramani	mangi
hisamuddin	mjudi
hisham	tisha
hiten	shiena
hitender	lakhvinder
hitesh	mitlesh
hitlar	shila
hom	ashman
homa	karshma
horam	shokraji
hosiyarilal	siya
hoti	moti
hrithik	ritika
hritik	kritika
hukam	shukla
hukamchand	shukramani
hukma	jhuma
hukum	kumud
husain	husainpreet
iarfan	irfan
ibarhim	rima
ibraham	nibha
ibraheem	faraheen
ibrahim	rahimun
idrish	shirishty
ijhar	nishar
ikbal	aanamika
iklakh	lakhe
ikramuddin	kamini
ikramudeen	kamreen
ikrar	iqrar
ilayat	layba
ilesh	mithilesh
ilyas	kailashi
imaman	imaman
imamuddin	nima
imamudeen	mahmun
imran	imrana
imsaan	muskaan
imtiaz	meti
imtiyaz	motiya
imtyaj	maya
imtyaz	mmta
inaam	sinaa
inayat	jinat
indal	jashinal
inder	inderjeet
inderjeet	inderjit
inderjit	jioty
indernath	indrvati
inderpaal	veerpal
inderpal	palak
indervesh	ramesh
indra	chndrakla
indraj	kulvinder
indresh	reshma
indu	minu
injmam	injum
inkoo	kohinoor
insaf	jainaf
iqarar	sitara
iqbal	khushnasiba
iqram	kiran
iqubal	rumal
irfan	kirann
irfhan	birtha
irphan	pano
irsad	sehrunisa
irshad	kirshna
ish	aishwarya
ishan	krishana
ishant	shanti
isharar	shaira
ishatkar	vishakha
ishtkar	ishita
ishu	vishnu
ishwar	rajeshwari
ishwari	swatri
ishwer	shweta
islam	nilam
islamuddin	nila
islamudin	samundri
israil	sahil
israr	nisa
isthar	sharmistha
istikar	isika
istkhar	nikkhar
istyak	pista
istyara	tyara
iswar	maheswari
iswer	mis
itwari	biwa
jaanu	jagan
jabbar	jubaira
jabir	jasvir
jacky	janky
jacob	jenab
jadu	kadu
jafar	jafrin
jaffar	jya
jafruddin	saru
jaga	joga
jagan	jugan
jagat	jagrti
jagbir	jagviri
jagdamba	jayda
jagdambika	ambiya
jagdeep	jamee
jagdeesh	meesh
jagdesh	manglesh
jagdiesh	jaishmin
jagdish	nargis
jagir	jahirul
jagjeet	japneet
jagjiwan	jaiwanti
jagmal	jaimala
jagmohan	mohni
jagnath	jaiguna
jagpati	jaimati
jagtar	gita
jahagir	sahar
jahgeer	saheen
jahid	janid
jahir	sahira
jahoor	noor
jai	jaimata
jaibhagwan	pawan
jaibir	jainab
jaichand	manchan
jaideep	jaismeen
jaidev	poojadevi
jaidul	amirul
jaijairam	rasmi
jainab	jainub
jaipal	jarina
jaiparkash	parkashi
jaiprakash	rakha
jaiprkesh	keshu
jairam	janam
jaisigh	jassi
jaiveer	avneet
jaivind	pavi
jakh	akhtri
jakir	janki
jalaluddin	jalma
jalil	pushpanjali
jalmi	rupanjali
jalsingh	asmin
jalwad	mala
jamaal	jamnaa
jamad	jamna
jamadar	jayada
jamal	ujama
jameer	jameela
jamil	pramil
jamir	jamrujaha
jamna	jamuna
jamshed	jasmen
janak	kanak
janardam	najda
janesh	javuneesha
janeshwar	neha
jang	gunjan
jani	rajani
jankidas	janvi
jankraj	januka
janmesh	mukesh
janta	kanta
jantarpal	santara
janwi	janwi
jaquir	jayuti
jarif	jarim
jarnail	jareena
jasbir	jasina
jasim	jaslin
jasiram	nasira
jaskaran	samra
jaskirat	kirti
jaspal	spna
jaspreet	jaspreet
jasvant	jaivanti
jasveen	jasleen
jasveer	tasveeran
jasvinder	javade
jasvindir	vidhi
jasvir	javitri
jaswant	asanti
jat	navjat
jatan	jaanki
jatin	jaioni
jauli	jashgul
javal	lavali
javed	samvedna
javid	junaid
jawahar	rajkanwar
jawhar	noorjahan
jayantadass	jayanti
jayesh	yogesh
jaykumar	kamar
jaynarayan	narayani
jayshing	sahin
jedu	jubeda
jeenat	jeenat
jeesan	jeevanlata
jeeshan	nazibuneesha
jeet	karamjeet
jeete	paramjeet
jeeth	simranjeet
jeetram	jeta
jeetu	geetu
jeevan	seeva
jeeya	ranjeeta
jetender	manjinder
jgdish	sohi
jhaban	shabana
jhagdoo	dhapoo
jhagdu	jhamaku
jhakar	shankarbhaya
jhalla	halima
jhawar	sahawaj
jigar	nigar
jile	hailena
jimi	bismilla
jimmi	rimmi
jisaan	saana
jisan	vaishanvi
jishan	joshna
jishant	jibanti
jism	ishmita
jisu	najis
jit	manjit
jitan	jaitun
jitander	satwander
jite	premjit
jitender	satwinder
jitendera	pritee
jitendr	jincy
jitendra	teena
jitesh	mithlesh
jitin	kristina
jittender	joity
jitu	ranjit
jiwan	gajwanti
jiya	jiya
jiyaul	joya
jockyipai	palvi
jodhi	joohi
jogender	benjeer
joginder	onginye
joholal	foola
jon	anjna
joni	sarojni
jony	joty
joria	jomiya
jorj	noorjaha
josin	jesmin
joydeep	joyate
jubed	julee
juber	juneb
jugal	jugani
jugender	sundri
juhewuddin	jhuhi
juhi	jhingi
julfi	muli
julficar	sufia
julfikaar	kajar
jumman	umma
jumrati	umrawti
junl	juna
junna	jhunna
justin	tina
juvel	jully
jwala	rajbala
jyoti	jyoti
kaari	kaarti
kabal	kawal
kabid	kali
kabir	satbir
kabul	kajul
kadir	mandira
kaif	kaifiya
kailash	kalashi
kailesh	kamlash
kaishav	keshav
kajamuddih	rajudi
kala	kaladevi
kalap	kalma
kalayan	kalyani
kaleem	tasleem
kaleram	alema
kali	anarkali
kalicharan	chaya
kalip	bahvarkali
kalish	kamli
kalla	kalpna
kallu	shallu
kaloo	shaloo
kalpadma	padma
kalpesh	laltesh
kalpna	kalpana
kalu	tinvkal
kalua	kamala
kaluram	karima
kalusingh	lushi
kalwant	kalwati
kalyan	kosalya
kamal	kamna
kamala	kamana
kamaldeep	kuldeep
kamaljeet	pamjeet
kamalkishore	kamta
kamil	kamni
kamla	kmla
kamlesh	vimlesh
kamleshwar	kaushar
kamraan	sama
kamre	kumare
kamruddin	karina
kamrudeen	samreen
kanahiya	nathiya
kanchi	kanchi
kanda	kanya
kanhaiya	kanchaniya
kanhaiyalal	najiya
kanhaya	kaushalya
kanheya	sandhya
kanhiya	kanika
kanhyalal	nehal
kanishakraj	manisa
kanisk	kanki
kanok	santok
kanta	premkanta
kantil	kanti
kanwar	rinukanwr
kapiil	kaamini
kapil	kafia
kaptan	ekata
karamvir	kushamvir
karan	rajkaranta
karandeep	swaranjeet
karansingh	rajni
karanveer	nanveet
